"Дата заявки";"п/н ";"Адрес";"Округ";"Наименование";"Доп. информация";"Телефон клиента или менеджер";"Статус заявки";"Что сделано, отчет техника/инженера по месту";"Комментарий инженера";"Latitude";"Longitude"
"10.06.2024";"46866";" г. Мытищи ул. Силикатная 18 Б";"Мытищи";"Дом трудолюбия Ной (ИП Сосинский ЭВ)";"заменить АКБ";"-";"не назначено";"-";"-";"55.929581";"37.775674"
"10.06.2024";"90210";"Подсосенский пер дом 30 строение 1 2 3";"Чкаловская";"Офис банка АО Азиатско Тихоокеанский Банк";"проверить КТС";"-";"не назначено";"Митрякин Иван +79686686888";"-";"55.7547642";"37.6537566"
"10.06.2024";"90344";"г Щелково проспект Пролетарский вл 12 А";"Щелково";"Магазин Продукты ИП Костин С В";"заменить АКБ";"-";"не назначено";"Костин Сергей Викторович +79269678766";"-";"55.9255348";"38.0018888"
"10.06.2024";"131703";"2-я Черногрязская, д.10";"1905";"Отель ИП Деревенская Р.В.";"заменить АКБ";" ";"не назначено";"-";"-";"55.7665733";"37.6519313"
"10.06.2024";"131710";". Московский ул. Радужная 14 кор. 3 пом.5";"Московский";"КиБ";"заменить АКБ";"-";"не назначено";"-";"-";"55.5887068";"37.3728768"
"10.06.2024";"131950";"Дубининская 84";"Серпуховская";"КиБ";"заменить АКБ";"-";"не назначено";"-";"-";"55.7177165";"37.6334668"
"10.06.2024";"131959";"Орджоникидзе д.9 к.1";"Ленинский пр-т";"КиБ ООО Альфа М";"заменить АКБ";" ";"не назначено";"-";"-";"55.7099297";"37.5984101"
"10.06.2024";"131962";"Олеко Дундича 19/15";"Филевский парк";"КиБ";"заменить АКБ";"-";"не назначено";"-";"-";"55.7396579";"37.4892751"
"10.06.2024";"132457";"Бибиревская 10 к 2";"Бибирево";"Все Инструменты";"НКС";"-";"не назначено";"-";"-";"55.8815313";"37.6025787"
"10.06.2024";"133178";"Дубна, ул. Боголюбова, дом 15, ТЦ ""Арка""";"Дубна";"Магазин ""Выгодный Комиссионный""";"заменить АКБ";"-";"не назначено";"-";"-";"56.7371379";"37.165489"
"10.06.2024";"133255";"Южнопортовая 21 к 7";"Печатники";"ООО ПК ВТОРАЛЮМИНПРОДУКТ";"заменить АКБ";"-";"не назначено";"-";"-";"55.7009077";"37.7081851"
"10.06.2024";"133310";"Мытищи г, Юбилейная ул, дом 10";"Мытищи";"ООО ""Планета Здоровья Холдинг""";"заменить АКБ";"-";"не назначено";"-";"-";"55.913096";"37.715246"
"10.06.2024";"133312";"Москва, улица Зои и Александра Космодемьянских, 31к3";"Войковская";"ГО и ЧС";"заменить АБ 20 зоны/востановить";"-";"не назначено";"-";"-";"55.8251213";"37.5218092"
"10.06.2024";"133687";"бульвар адмирала Ушакова, д. 8";"Скобелевская";"Ломбард Платинум""";"заменить АКБ";"-";"не назначено";"-";"-";"55.5481665";"37.5514956"
"10.06.2024";"136645";"Новоалексеевская 23";"Алексеевская";"Кладовка Складно ИП Львов Е А";"Не проходит КТС, не работает";"-";"не назначено";"-";"-";"55.8109078";"37.6506449"
"10.06.2024";"136951";"МО г Красногорск д Путилково Путилковское шоссе 117";"Красногорск";"Салон связи ООО Монблан";"долбит тампер";"-";"не назначено";"Добрынин Роман Васильевич +79032255469";"-";"55.8592091";"37.3842207"
"10.06.2024";"310078";"Одинцовский р-н, НПСЗУ ""УСПЕНСКОЕ"" д. 33";"Одинцово";"Коттедж Журавская О.Г.";"проверить работсопособность";"-";"не назначено";"Журавская Ольга Георгиевна +7(985)-232-22-22";"-";"55.7064432";"37.0817977"
"11.06.2024";"93084";"г.Красногорск,Народного Ополчения";"Красногорс";"Авоська";"заменить БП от ОС";"-";"не назначено";"-";"-";"55.8351995";"37.3151414"
"11.06.2024";"131554";"Фрязино Горького 7";"Фрязино";" ООО ""МЕРИДИАН"" Аптека Планета Здоровья";"заменить АКБ";"-";"не назначено";"-";"-";"55.9590193";"38.0349039"
"11.06.2024";"137947";"Муравская д.46 к.2";"Пятницкое Ш.";"Кафейня ИП Хас А.А.";"тревога тампера 17 зоны";"-";"не назначено";"-";"-";"55.862459";"37.362639"
"13.06.2024";"1127";"Пятницкий переулок .8";"Новокузнецкая";"Офис (торговые помещения)";"тревога тампера/ разряд 3,15 зон";" ";"не назначено";"Сергей Иванович +79637103050";"-";"55.7428173";"37.6297312"
"13.06.2024";"1440";"Москва остановочная платформа МЦК Площадь Гагарина вход с Площадь Гагарина";"Ленинский пр-т";"Кассы станций МЦК остановочная платформа МЦК Площадь Гагарина ОАО РЖД";"не проходит КТС";"-";"не назначено";"-";"-";"55.7085572";"37.582812"
"13.06.2024";"9440";"Пролетарский проспект 25";"Кантемировская";"Отдел Кантемировская ООО Ломбард на Пражской";"долго проходит сигнал КТС";" ";"не назначено";"Далецкий Сергей Александрович +79269706361";"-";"55.6363527";"37.657125"
"13.06.2024";"82717";"пр Университетский 21 корпус 4 кв 20";"Ломоносовский ";"квартира";"разряд акб сразу после откл 220.";"-";"не назначено";"Квартира 8(499)443-18-51";"-";"55.7129211";"37.5186201"
"13.06.2024";"84009";"МО д Суханово ЖК Суханово парк 43 пом 2";"Видное";"Коттедж Орлова О Р";"заменить АБ 6 зоны";"-";"не назначено";"-";"-";"55.52392";"37.64931"
"13.06.2024";"90780";" Генерала Ермолова 10/6";"-";"ОСП ДК Астриум на Дениса Давыдова ОКЦ ЗАО";"не проходит КТС";"-";"не назначено";"Черемисина Алла Анатольевна +79852373773";"-";"55.739184";"37.515533"
"13.06.2024";"90816";" 4-й Марьиной Рощи пр-д, вл. 12/1";"М. Рощи";"MOD ,АО «МР Групп»";"НКС";" ";"не назначено";"Зайкова Инна Арсентьевна +79099738822";"-";"55.7975145";"37.6200473"
"13.06.2024";"93277";"Щепкина 47 стр 1 эт 1";"Серпуховская";"Ортопедический салон ООО Ортоджей";"заменить АКБ";"-";"не назначено";"Ольга Ивановна +79152691112";"-";"55.7813703";"37.6290925"
"13.06.2024";"130271";"МО г Раменское ул Чугунова 41";"Раменское";"Все Инструменты";"заменить АБ 18 зоны";"-";"не назначено";"-";"-";"55.5796193";"38.2020943"
"13.06.2024";"133408";"Мосфильмовская д.53";"Ломоносовский пр-т";"Кафе Сад ООО ВООДОО";"заменить АКБ";"-";"не назначено";"-";"-";"55.704823";"37.497495"
"13.06.2024";"136900";"МО Ленинский район д Сапроново мик Купелинка Северный квартал 2";"Видное";"Пекарня ИП Кромова В Н";"нет 220В, АКБ разряд, НКС";"-";"не назначено";"-";"-";"55.537011";"37.72157"
"13.06.2024";"136968";" Народного Ополчения 20 корпус 1";"Народного Ополчение";"Магазин Ремонт часов ООО Канв";"востановить 18 зону";"-";"не назначено";"Эркимбаева Гульнара Аскеровна +79037960635";"-";"55.7770539";"37.4806066"
"13.06.2024";"137017";"1-й Самотечный пер. д.2 стр.2";"Новослободская";"Кафн ДонеКафе";"НКС";" ";"не назначено";"Устинов Тимур Алексеевич +79197771134";"-";"55.7779181";"37.6165799"
"13.06.2024";"137941";"Ногинск, Московская улица, 3";"Ногинск";"ООО «УК «ЛИГА ФИНАНС» ";"нет готовности";"-";"не назначено";"-";"-";"55.8329959";"38.4783875"
"14.06.2024";"1623";"Руза, Федеративная улица, 21/2";"Руза";"Магазин";"потеря 1 зоны";"-";"не назначено";"-";"-";"55.7081378";"36.2003031"
"14.06.2024";"93278";" 3 Кабельная 1";"Авиамоторная";"-";"заменить АКБ";"-";"не назначено";"-";"-";"55.7466642";"37.716858"
"14.06.2024";"132069";"п.Сосенское ул.А.Монаховой д.95 к.1";"Бутово";"КиБ ООО Альфа М";"заменить АКБ";" ";"не назначено";"-";"-";"55.542126";"37.490209"
"14.06.2024";"133164";"пр-т Буденного  51 к.1";"ш.Энтузиастов";"Нумизмат ИП Воробьев Е.Ю.";"заменить АКБ";"-";"не назначено";"-";"-";"55.760449";"37.737767"
"14.06.2024";"133226";"Ухтомского Ополчения 1 ";"Некрасовка";"Ломбард ООО Ломбард Золотое руно";"заменить АКБ";"-";"не назначено";"-";"-";"55.7008802";"37.924583"
"14.06.2024";"133766";"проезд Ферганский, д. 7, к. 2, кв. 74";"Юговосточная";"Крюкова Т.В. (квартира)";"заменить АБ  17 зоны";"-";"не назначено";"-";"-";"55.6945121";"37.8219691"
"14.06.2024";"137503";" Большая Семёновская 11 стр 3";"Электрозаводская";"Лофт ИП Буслаева А Г";"ложные сработки КТС";"-";"не назначено";"Трифонов Рустам Вагифович +79165075969";"-";"55.7831392";"37.7026715"
"14.06.2024";"137578";"Маршала Савицкого,26 к1";"Бутово";"ООО ПКФ «Активатор»";"потеря 26 зоны, требуется ретранслятор";" ";"не назначено";"Дмитрий Михайлович +79043799687";"-";"55.5040866";"37.5947149"
"17.06.2024";"1136";"Сайкина 9/1";"Автозаводская";"Магазин охоты ООО Территория";"тревоги по 9 при постановке";" ";"не назначено";"Карпухин Валерий Иванович +79036853104";"-";"55.7074403";"37.6686109"
"17.06.2024";"93096";"Новодмитровская 1 стр 2";"Дмитровкская";"Аптека Планета Здоровья";"заменить АКБ";"-";"не назначено";"Гужова Нина Владимировна +79773321006";"-";"55.8061268";"37.5839374"
"17.06.2024";"93345";"г Котельники ул Новая 14";"Котельники";"Нотариус Семенов Н А";"15 зона горит на приборе";"-";"не назначено";"Звенина Ольга +79162117089";"-";"55.6631179";"37.8730004"
"17.06.2024";"95066";"Новый Арбат 32";"Арбат";"Рекламный экран билборд ООО Расвэро";"долбит тампер";"-";"не назначено";"-";"-";"55.753379";"37.5806812"
"17.06.2024";"130132";"г Коломна ул Дзержинского 4 пом 218";"Коломна";"Учебный центр ИП Лысенко Е С";"заменить АКБ";"-";"не назначено";"-";"-";"55.0809491";"38.807425"
"17.06.2024";"130575";"г.Мытищи, Университетская д.13 к.3";"-";"Магазин Мильстрим О";"заменить АКБ";"-";"не назначено";"-";"-";"55.9174791";"37.7601074"
"17.06.2024";"132443";"Кировоградская 13 А";"Пражская";"Ресторан Иль патио";"НКС";"-";"не назначено";"-";"-";"55.6121359";"37.6070701"
"17.06.2024";"133412";"МО го Пушкинский г Ивантеевка проспект Советский 24";"Пушкино";"Кафе пекарня Булочка ИП Тихонов Р В";"заменить АКБ";"-";"не назначено";"-";"-";"55.9666595";"37.9079714"
"17.06.2024";"133639";"ул. Поречная, д. 10 ";"Братиславская";"ООО Максима-Групп, м-н Familia";"НКС";" ";"не назначено";"-";"-";"55.6498778";"37.7700682"
"17.06.2024";"134888";"Совхозная 20";"-";"Аптека Фармленд ООО Ромашки";"НКС";"-";"не назначено";"-";"-";"55.6806354";"37.7644257"
"17.06.2024";"134920";"Академика Виноградова 1";"Теплый Стан";"Кафе Виноград ИП РАдик Г.В.";"НКС";"-";"не назначено";"-";"-";"55.6319316";"37.4831609"
"17.06.2024";"137591";"Крымский Вал 8 помещ 2/1";"Октябрьская";"Магазин Авокадо ООО Вета и Ко";"заменить АКБ";"-";"не назначено";"-";"-";"55.731084";"37.6091899"
"17.06.2024";"137667";"Крупской 8 к 1";"Университет";"Кладовка Складно ООО Управленческие Решения";"настроить канал иннтернет";"-";"не назначено";"-";"-";"55.6841906";"37.5292501"
"18.06.2024";"130590";"Ленинградское шоссе 16А";"Балтийская";"Ювелирный магазин Тоус";"заменить АКБ";"-";"не назначено";"-";"-";"55.8238512";"37.4972141"
"18.06.2024";"131689";"г. Реутов ул. Носовихинское шоссе д.45";"Реутов";"Магазин Восс Бренд Аутлет";"замена АКБ";"-";"не назначено";"-";"-";"55.7523608";"37.8872927"
"18.06.2024";"134218";"Коломна, Кирова д.23А";"Коломна";"Аптека ФармЛенд ООО Аптека Экономия";"не проходит КТС";"-";"не назначено";"-";"-";"55.0654512";"38.7568768"
"18.06.2024";"134225";"г Реутов Носовихинское шоссе 45 этаж 2";"Реутов";"Магазин Восс Бренд Аутлет ООО Бренд Аутлет";"заменить АКБ";"-";"не назначено";"-";"-";"55.7523608";"37.8872927"
"18.06.2024";"134959";"Волоколамское шоссе 71/22 к 3";"Тушинская";"Пекарня Буханка ООО Восход";"проверить АКБ";"-";"не назначено";"-";"-";"55.822244";"37.435869"
"18.06.2024";"136293";"Лухмановская д.24 А";"Лухмановская";"магазин Табак ИП Багян Г.С.";"тревога по 17 зоне";"-";"не назначено";"-";"-";"55.722112";"37.905518"
"19.06.2024";"1540";"п. Сосенское, Калужское ш 21 км, в ТРЦ «МЕГА», пом. 6042";"Коммунарка";"ООО «Трейд Менеджмент» магазин одежды «HUGO BOSS».";"НКС";"А 31";"не назначено";"-";"-";"55.605663";"37.486463"
"19.06.2024";"1660";"МО г Одинцово, Мал. Сареево д.36";"Одинцово";"Коттедж";"потеря датчиков";" ";"не назначено";"8-495-761-39-23, нужен програматор для напко";"-";"55.7111232";"37.1984805"
"19.06.2024";"46719";"г.Домодедово, Вокзальная 2 Г";"Домодедово";"Магазин Мистраль ООО Вино Розница";"НКС";"-";"не назначено";"89775130709";"-";"55.403006";"37.817539"
"19.06.2024";"84006";"деревня Суханово, 121";"Суханово Парк";"Коттедж ""УК Суханово Парк"" Богачева Бориса Александровича";"отказы по 18 зоне";"-";"не назначено";"Богачев Борис Александрович 8-925-900-07-00";"-";"55.5188472";"37.6541126"
"19.06.2024";"136943";"Верхнелихоборская 71 к 4 стр 1";"-";"Пункт приёма металла ИП Большаков Т А ";"заменить АКБ";"-";"не назначено";"Князев Алексей Сергеевич +79913103329";"-";"55.8528674";"37.5579297"
"19.06.2024";"137701";"Маршала Рокоссовского 7 к 1";"Б.Рокосовского";"Гастромаркет Еда ООО РОКОССОВСКОГО К";"НКС";"-";"не назначено";"Савельев Александр Александрович +79684719009";"-";"55.8107696";"37.7250632"
"19.06.2024";"192470";" Борисовские пруды влад 2 пост 1";"Чертаново";"Спортивный интернат Чертаново";" ктс не проходит";"-";"не назначено";"ОХРАНА 8-916-233-72-41";"-";"55.6338749";"37.7079805"
"19.06.2024";"300029";"Кубинка СНТ""Кубинка-М"", ул. 6-й проезд, д.126";"Кубинка";"Коттедж";"разряд АБ 2,5 зоны";"-";"не назначено";"-";"-";"55.5424646";"36.6924939"
"20.06.2024";"1515";"Трубниковский пер д.8 /15 пом .2 ком 8-12";"Смоленская";"Медклиника ООО Клиника Профессионал ЧОП Синяя Птица";"пищит прибор";" ";"не назначено";"Адам Аблякимов +79919220720";"-";"55.7514221";"37.5872571"
"20.06.2024";"133118";"г.Балашиха,  Ситникова д.2пом.22";"Балашиха";"Аптека ООО Аптекарьский дом";"заменить АБ в клаве";"-";"не назначено";"-";"-";"55.788859";"37.879207"
"20.06.2024";"310280";" Одинцовский р-н., в р-не д. Акулово, СТ""Пульс"", уч.150";"Одинцово";"Коттедж Богатырчук А.Э.";"заменить АБ 18 зоны";"Даниелян 21.06.24";"не назначено";"о: Богатырчук Виталий Альфредович +7985-155-91-98";"-";"55.6790296";"37.2635177"
"21.06.2024";"1611";"п Московский ул Никитина 11 к 5";"Московский";"Салон красоты Позитано ИП Ставцева Н Р";"проверить АКБ";"-";"не назначено";"-";"-";"55.601788";"37.374353"
"21.06.2024";"8427";"Маршала Катукова, д. 9, корп. 1";"Строгино ";"ООО СТУДИЯ СТОМАТОЛОГИИ";"долбит 9 зона";"-";"не назначено";"-";"-";"55.8123952";"37.4021208"
"21.06.2024";"22019";"Ленинградское шоссе 228 к 3";"SVO";"ИП Кобец К Ю ";"заблокировалась клава";" ";"не назначено";"Юрьевич 89056867548";"-";"55.932591";"37.381558"
"21.06.2024";"22108";"Лосино- Петровский,рп. Свердловский,ул. Заречная 7,";"Лосино петрвоский";"ИП Сытник Максим Викторович, пвз ОЗОН";"заменить АКБ";"-";"не назначено";"-";"-";"55.899941";"38.148638"
"21.06.2024";"84862";"Усачёва 33 строение 3";"Спортивная";"Клиника МК Семейный доктор";"Филиппова Валентина Юрьевна(КХН) 8-926-296-89-11";"-";"не назначено";"79265857092 Марчинская";"-";"55.723085";"37.561643"
"21.06.2024";"90224";"Балашиха Балашихинское шоссе 16";"Балашиха";"Сеть салонов Оптимист Оптика ООО Ленц 98";"отказ  зон 17,21 зон";"-";"не назначено";"-";"-";"55.8230957";"37.9297524"
"21.06.2024";"90914";" г Электрогорск ул Советская 9";"Электросталь";"Магазин Продукты ООО Фортуна А";"заменить АКБ";"-";"не назначено";"-";"-";"55.8746668";"38.7822934"
"21.06.2024";"93280";"Русаковская, д.31";"-";"ООО ""Богемия плюс К"" магазин ""Aura of Bohemia""";"заменить АКБ";"-";"не назначено";"-";"-";"55.7885133";"37.6786356"
"21.06.2024";"131536";"г. Королев,ул. Пионерская,д. 8 г,";"Королев";"Асоортида";"заменить АКБ";"-";"не назначено";"-";"-";"55.913248";"37.814393"
"21.06.2024";"132589";"Трофимова д.36";"Автозаводская";"Аптека Планета  Злоровья";"заменить АКБ";"-";"не назначено";"-";"-";"55.7037401";"37.6856816"
"21.06.2024";"132726";"Гурьянова 4 к 1";"Печатники";"Стоматология ООО Альтернатива,";"заменить АБ 23 зоны";"-";"не назначено";"-";"-";"55.6915726";"37.7211564"
"21.06.2024";"134025";"Ленинградское шоссе 13к1";"Войковская";"ИП Мусаев Г.Г.";"НКС";" ";"не назначено";"-";"-";"55.818685";"37.497198"
"21.06.2024";"134551";"пос. ВНИИССОК Можайское ш.28 й км 1 А";"Одинцово";"Кафе вьетнамской кухни ИП Чайков С.В.";"откл 220В, НКС";"-";"не назначено";"-";"-";"55.718335";"37.415006"
"21.06.2024";"137936";"г.Балашиха, Павилион 69 п.10";"Балашиха";"ПВЗ Озон";"установить  Ретр 220В";"-";"не назначено";"-";"-";"55.7963582";"37.9382792"
"24.06.2024";"1435";"Ленинская Слобода д.26";"Автозаводская";"Офис";"заменить БП 30 на скуде";"-";"не назначено";"89154588117 Михаил";"-";"55.7101938";"37.6546237"
"24.06.2024";"1442";"Севастопольский проспект 11 строение 1";"Крымская";"Кассы РЖД";"заменить АКБ";"-";"не назначено";"-";"-";"55.6847329";"37.6023645"
"24.06.2024";"46825";"Суворовская  2/1 пом.5";"Электрозаводская";"ООО КиБ";"пробелема с постановкой";"-";"не назначено";"-";"-";"55.7879445";"37.7097508"
"24.06.2024";"90033";"г Подольск ул Машиностроителей 22 А";"Подольск";"Аптечный пункт ООО Глорикс";"НКС";"расторжен";"не назначено";"-";"-";"55.4082641";"37.5719436"
"24.06.2024";"91460";"г Люберцы проспект Октябрьский 259 Б";"Люберцы";"Ангар ООО Энергия";"заменить АКБ";"-";"не назначено";"-";"-";"55.673759";"37.905623"
"24.06.2024";"91944";"Народного Ополчения 47 корп 1 стр 1";"Октябрьское поле";"Народного Ополчения Пекрня ИП Агапонова М В";"тампер (21 шл)";" ";"не назначено";"-";"-";"55.7934133";"37.4924275"
"24.06.2024";"93066";"Бауманская 33/2 стр 8";"Баманская";"Аптека Планета Здоровья ООО Аджента";"долбит тампер ";"-";"не назначено";"-";"-";"55.772423";"37.6798651"
"24.06.2024";"93161";"г Подольск мкр Климовск ул Заводская 23";"Подольск";"Продуктовый магазин 24 часа ООО Время";"проверить работоспособность КТС";"-";"не назначено";"-";"-";"55.3801717";"37.536312"
"24.06.2024";"131850";"Московский, ул. Бианки 2 корп. 1 кв 139";"Московсский";"Квартира";"заменить АКБ";"-";"не назначено";"-";"-";"55.6031327";"37.3583481"
"24.06.2024";"133949";"г Видное ул имени Героя Советского Союза Виктора Никитовича Фокина 8";"Видное";"Магазин цветов ЗАЙЧИХА";"тревоги по 20 зоне";" ";"не назначено";"-";"-";"55.537964";"37.721229"
"24.06.2024";"134019";"г.мытищи, Коммунистическая 1  ТЦ XL";"Мытищи";"Магазни СИН ООО РЕ Трейдинг";"првоерить КТС";"-";"не назначено";"-";"-";"55.8927605";"37.7459685"
"24.06.2024";"134135";"Ярцевская 25А ";"Молодежная";"Пекарня Хлебница ИП Жигулин Д.И.";"заменить АКБ";"-";"не назначено";"-";"-";"55.7410405";"37.4155077"
"24.06.2024";"134293";"Красная Пресня 28";"Краснопресненская";"Ортопедический салон ООО Ортоджей";"проблемы с постановкой";"-";"не назначено";"-";"-";"55.7622571";"37.5686158"
"24.06.2024";"136907";"Новинский б-р д.8";"Смоленская";"Маркет Операции";"заменть Астру 321";"-";"не назначено";"-";"-";"55.7512181";"37.5846061"
"24.06.2024";"137182";"Велозаводская 13 стр 1";"Автозаводская";"Все Инструменты";"тревога по 17 зоне";"-";"не назначено";"-";"-";"55.7104356";"37.6682129"
"24.06.2024";"137183";"Н Масловка 5 корп 2";"Савеловская";"Кондитерский цех ИП Симонова А Д";"зааменить АБ 24,25 зон, отключена 18 зоны";"-";"не назначено";"Симонова Алиса Дмитриевна +79160925086";"-";"55.7911967";"37.5825659"
"24.06.2024";"137191";"ул Орджоникидзе 1";"Ленинский пр-т";"Кафе Чизберри ИП Суворова С А";"проверить работоспосбность";"-";"не назначено";"Суворова София Александровна +79188067996";"-";"55.710884";"37.6050137"
"24.06.2024";"137327";" Льва Яшина 5 к 1";"Некрасовка";"Хостел Вариант ООО Вариант";"НКС";"-";"не назначено";"-";"-";"55.6981269";"37.9230508"
"24.06.2024";"137657";"25-й км Рублёво-Успенского шоссе, стр. 4";"-";"""Пятерочка""";"проверить Клаву";"-";"не назначено";"-";"-";"55.7069708";"37.0186611"
"24.06.2024";"137688";"Новозаводская 25 к.6";"Фили";"ПВЗ ОЗОН";"отказы связи";"-";"не назначено";"-";"-";"55.7515125";"37.5008718"
"08.07.2024";"32012";"НАО Москвы, пос. Десеновское, СНТ Юпитер 70";"Десеновское";"Коттедж";"Проблема с проведением тестов";"-";"не назначено";"-";"-";"55.523769";"37.3753307"
"08.07.2024";"32523";"г. Москва, ул. Миклухо Маклая 40 корп. 1, кв. 152";"Беляево";"Квартира";"Потеря связи с ППК";"-";"не назначено";"-";"-";"55.638766";"37.5385817"
"08.07.2024";"130796";"Москва, Кировоградская улица, 13А";"Пражская";"Ювелирный магазни Тоус ООО Рашэл Групп";"долбит тампер 18 зоны";"-";"не назначено";"-";"-";"55.6121359";"37.6070701"
"08.07.2024";"131097";"г. Москва, пр-т Рязанский 77";"Рязанский проспект";"Ломбард Рязанский ООО Авто Ломбард Эквивалент";"АКБ прибора";"-";"не назначено";"-";"-";"55.7174724";"37.7949277"
"08.07.2024";"131204";"г. Москва, ул. Покровка 20/1, стр. 1";"-";"Бар Сентябрь ООО пунт";"-";"-";"не назначено";"-";"-";"55.7586876";"37.6470823"
"08.07.2024";"131822";"Тверская обл-ть, Беженецкий р-н, г. Бежецк, ул. Садовая 9";"Тверь";"ПВЗ Все Инструменты";"замена АБ";"-";"не назначено";"-";"-";"57.7828984";"36.6912153"
"08.07.2024";"132087";"г. Москва, ул. Ставропольская 15";"-";"Красное и Белое";"НКС";"-";"не назначено";"-";"-";"55.6810923";"37.7502175"
"08.07.2024";"132093";"г. Москва, пр-д Отрадный 3";"Отрадное";"Магазин Красное и Белое ООО Альфа - М";"Заменить КТС";"-";"не назначено";"-";"-";"55.854084";"37.6074978"
"08.07.2024";"132407";"г. Москва, пос. Сосенское, б-р Веласкеса 7к3";"Прокшино";"Салон красоты КОСТА ИП Лушкина М. А";"НКС";"02.09.2024 Трубин";"назначено";"-";"-";"55.593568";"37.46052"
"08.07.2024";"132747";"МО г. Солнечногорск, дер. Голубое, ул. Трёхсвятская 6";"Солнечногорск";"Аптека Планета Здоровья ООО МЕРИДИАН";"АКБ прибора";"-";"не назначено";"-";"-";"55.9753802";"37.0989257"
"08.07.2024";"132751";"п. Сосенское, ул.Василия Ощепкова, дом 3, 2 подъезд 12 этаж квартира 78";"Сосенское";"Квартира";"заменить АКБ + НКС";"-";"не назначено";"-";"-";"55.5550287";"37.4644355"
"08.07.2024";"133055";"г. Москва, ул. Малая Грузинская 38";"Баррикадная";"Кафе Вайтфокс ИП Иванов С. Е";"-";"-";"не назначено";"-";"-";"55.7679212";"37.572971"
"08.07.2024";"133338";"МО г. Ивантеевка, ул. Заводская 12А";"Ивантеевка";"Аптека Формат ООО Биоритм";"НКС + АКБ прибора";"-";"не назначено";"-";"-";"55.9717631";"37.8959349"
"08.07.2024";"133569";"г. Москва, б-р Дмитрия Донского 11";"Бульвар Дмитрия Донского";"Пекарня Хлебница ИП Гоц И. Р";"АКБ прибора";"-";"не назначено";"-";"-";"55.5668275";"37.5763484"
"08.07.2024";"133877";"МО г. Долгопрудный, шоссе Московское 37Б";"Долгопрудный";"Пекарня Хлебница ИП Кольцов Д.А";"АКБ прибора";"-";"не назначено";"-";"-";"55.9391587";"37.518543"
"08.07.2024";"133892";"г. Москва, пос. Сосенское, ул. Александры Монаховой 92 корп. 3";"Бунинская аллея";"Магазин Стройматериалы ИП Степанян Г. М";"АКБ прибора";"-";"не назначено";"-";"-";"55.542681";"37.485116"
"08.07.2024";"134328";"г. Москва, ул. Никулинская 21 эт. 2";"Озёрная";"ИзиГейм Компьютерный клуб ИП Алимбекова В. Р";"НКС + АКБ прибора";"-";"не назначено";"-";"-";"55.6689273";"37.4535843"
"08.07.2024";"134354";"г. Москва, ул. 26-ти Бакинских Комиссаров 12к2";"Юго - Западная";"Магазин Пятёрочка ООО Трейд Проперти";"Проблемы с постановкой на охрану";"-";"не назначено";"-";"-";"55.6603537";"37.4885137"
"08.07.2024";"135073";"МО г. Лобня, ул. Горки Киовские 84";"Лобня";"Офис ИП Лабутин С. В";"АКБ прибора";"-";"не назначено";"-";"-";"56.038796";"37.441215"
"09.07.2024";"130262";"г. Москва, павильон в метро ст. Бульвар Дмитрия Донского";"Бульвар Дмитрия Донского";"Кофешефф ООО Галерея Квант";"Многократные сработки ШС 17/18";"-";"не назначено";"-";"-";"55.5693032";"37.5759915"
"09.07.2024";"132853";"Владимирская област, г. Кольчугино, ул. Добровольского 2Б";"Кольчугино";"ПВЗ Все Инструменты";"АБ ШС 19 + АКБ прибора";"-";"не назначено";"-";"-";"56.3016723";"39.3768048"
"09.07.2024";"133267";"Владимирская област, г. Юрьев Польский, ул. Луговая 19А";"Юрьев Польский";"ПВЗ Все Инструменты";"АБ ШС 21 + АКБ прибора";"-";"не назначено";"-";"-";"56.4991347";"39.6874028"
"10.07.2024";"130397";"МО Ленинский район, сел. пос. Булатниковское, д. Дрожжино, ул. Южная 11, кв. 1";"-";"Стоматология Йес";"Тампер ШС 20 + ";"-";"не назначено";"-";"-";"55.520054";"37.586693"
"12.07.2024";"32953";"Лабинск, Огородная улица, 27";"Лабинск";"Магазин Лаб Табак";"Потери связи с ППК";"-";"не назначено";"-";"-";"44.6693231";"40.7062924"
"12.07.2024";"52265";"МО г. Павловский Посад, ул. Герцена 14";"Павловский Посад";"Сеть салонов Оптимист Оптика";"ППКОМ потери питания и связи";"-";"не назначено";"-";"-";"55.7781082";"38.6712184"
"12.07.2024";"131383";"Луховичкий р-н пгт Белоомут Советская пл. 2Б";"Луховицы";"Аптека Планета Здоровья ООО Меридиан";"заменить АКБ + возможно прибор ";"-";"не назначено";"-";"-";"54.938819";"39.339831"
"12.07.2024";"132778";"г. Рязань, ул. Новосёлов 45к1";"Рязань";"ПВЗ Все Инструменты";"АБ ШС 18/22 + Ложняки 18/24";"-";"не назначено";"-";"-";"54.603337";"39.822168"
"12.07.2024";"133235";"МО г. Дубна, ул. Кирова 2";"Дубна";"ПВЗ Все Инструменты";"ШС 20 тампер (на всякий случай взять СН-ИК)";"-";"не назначено";"-";"-";"56.7621144";"37.1440579"
"12.07.2024";"133943";"г. Москва, ул. Бутырская 9к1";"Савёловская";"Медицинский центр Инвитро ООО Виктория";"АКБ прибора";"-";"не назначено";"-";"-";"55.795112";"37.5830898"
"12.07.2024";"135041";"г. Москва, шоссе Боровское 2к5";"Говорово";"Кафе Кинд ИП Илюхин М.А";"НКС + Постоянные перезапуски прибора";"-";"не назначено";"-";"-";"55.661816";"37.419916"
