п/н";"Объект";"Адрес";"Округ";"Компания";"Менеджер";"Период обслуживания";"Latitude";"Longitude";"Дата последнего ТО";"Ссылка"
"65762";"КК Кубань Кредит";"Вспольный пер., 5с2";"ЦАО";"Нева-Технологии";"-";"М";"55.7601818";"37.5870184";"26.03.2025";"https://durnovcev2000.kaiten.ru/32562889"
"1444";"остановочная платформа МЦК Новохохловская";"Москва, Новохохловская улица, 49";"ЦАО";"Нева-2";"Дубовик А.С.";"М";"55.7240051";"37.7165642";"24.03.2025";"https://durnovcev2000.kaiten.ru/32562175"
"1442";"остановочная платформа МЦК Крымская";"Москва, Севастопальский проспект, 11 ст 1";"ЦАО";"Нева-2";"Дубовик А.С.";"М";"55.687555";"37.604113";"24.03.2025";"https://durnovcev2000.kaiten.ru/32562180"
"1441";"остановочная платформа МЦК Крымская";"остановочная платформа МЦК Крымская";"ЦАО";"Нева-2";"Дубовик А.С.";"М";"55.68999299999999";"37.605212";"24.03.2025";"https://durnovcev2000.kaiten.ru/32562181"
"151700";"ООО «Чайка»/ Пекарня Буханка";"Москва г, ул Ижорская, д. 6, к. 6";"ЦАО";"Эсток-Сервис";"Ткаченко В.Н.";"КВ";"55.880325";"37.5012619";"24.03.2025";"https://durnovcev2000.kaiten.ru/40837580"
"131252";"ООО ""Клевер"" (Студия йоги и танца «Клевер»)";"г. Москва, ул. Покровка, д.21-23/25 стр.4";"ЦАО";"Гранит";"Гунин В.В.";"М";"55.7598487";"37.6471829";"22.03.2025";"https://durnovcev2000.kaiten.ru/32562974"
"1446";"остановочная платформа МЦК Белокаменная";"Москва, станция Белокаменная, Московское центральное кольцо";"ЦАО";"Нева-2";"Дубовик А.С.";"М";"55.8293203";"37.7024151";"21.03.2025";"https://durnovcev2000.kaiten.ru/32562165"
"1445";"остановочная платформа МЦК Шоссе Энтузиастов";"Москва, Московское центральное кольцо, станция Шоссе Энтузиастов";"ЦАО";"Нева-2";"Дубовик А.С.";"М";"55.7589";"37.746011";"21.03.2025";"https://durnovcev2000.kaiten.ru/32562168"
"134759";"ИП Балакин";"Староконюшенный 10/10";"ЦАО";"Технологии Безопасности";"Саилова А.";"М";"55.7470038";"37.5952224";"20.03.2025";"https://durnovcev2000.kaiten.ru/32562857"
"90717";"Аптека ""Планета здоровья""";"г. Москва, ул. Малая Филевская д.54";"ЦАО";"Гранит";"Пряшников Д.Ю.";"М";"55.733748";"37.449879";"20.03.2025";"https://durnovcev2000.kaiten.ru/33682105"
"91020";"аптека ""Планета Здоровья""";"г.Москва, ул. Дыбенко 28/2";"ЦАО";"Гранит";"Пряшников Д.Ю.";"М";"55.8737431";"37.484884";"20.03.2025";"https://durnovcev2000.kaiten.ru/33681972"
"134391";"ООО «ВКУСНО»/Пекарня Буханка";"МО , Красногорский р-н, п. Ильинское-Усово, ул.Заповедная , 3";"ЦАО";"Эсток-Сервис";"Ткаченко В.Н.";"КВ";"55.77494249999999";"37.2402529";"19.03.2025";"https://durnovcev2000.kaiten.ru/33680647"
"131825";"ООО ""АДЖЕНТА"", Аптека Планета";"г Москва ул.Садовая-Триумфальная д.22/31";"ЦАО";"Гранит";"Пряшников Д.Ю.";"М";"55.77191999999999";"37.60409";"19.03.2025";"https://durnovcev2000.kaiten.ru/32562944"
"90945";"Планета Здоровья";"Благовещенский пер 1 большая садовая 14/10";"ЦАО";"Гранит";"Пряшников Д.Ю.";"М";"55.767395";"37.5944379";"19.03.2025";"https://durnovcev2000.kaiten.ru/32562932"
"83983";"ООО «Яндекс Маркет» Офис";"Москва, ул. Полковая дом 3";"ЦАО";"Аллигатор";"Епуре А.А.";"КВ";"55.7984439";"37.6078221";"18.03.2025";"https://durnovcev2000.kaiten.ru/33668804"
"138622";"ИП Нестерова Светлана Евгеньевна (Балансир Центр развития ребёнка)";"Мытищи, ул Мира, д. 41";"ЦАО";"Технологии Безопасности";"Сафин М.С.";"КВ";"55.920689";"37.7166634";"18.03.2025";"https://durnovcev2000.kaiten.ru/44139087"
"84836";"ООО ""Зэтта"" ресторан ""ГУСЬ ВИНО""";"Цветной б-р, д.23, стр.1";"ЦАО";"Аллигатор";"Супонников М.С.";"М";"55.7727158";"37.620746";"18.03.2025";"https://durnovcev2000.kaiten.ru/32562116"
"93113";"Аптека ""Планета Здоровья""";"Москва ул. Садовая самотечная 24/27";"ЦАО";"Гранит";"Пряшников Д.Ю.";"М";"55.773588";"37.618138";"18.03.2025";"https://durnovcev2000.kaiten.ru/32563067"
"ТО-2800";"ИП Кожанов Максим Сергеевич Школа английского языка О’KEY English";"Московская обл, г. Мытищи, ул. Борисовка, дом 16А";"ЦАО";"Гранит";"Лемайкин А.";"КВ";"55.9160012";"37.7107448";"18.03.2025";"https://durnovcev2000.kaiten.ru/33668932"
"93084";"ООО ""Авоська-два"" магазин ""Авоська""";"МО г. Красногорск, ул. Н. Ополчения д. 1А";"ЦАО";"Аллигатор";"Гаврилова А.О.";"М";"55.836155";"37.316987";"18.03.2025";"https://durnovcev2000.kaiten.ru/33681724"
"91582";"Магазин ""Ассортида""";"г.Москва, ул. Кронштадтский бульвар, д. 47";"ЦАО";"Гранит";"Калиниченко А.С.";"КВ";"55.851782";"37.511758";"18.03.2025";"https://durnovcev2000.kaiten.ru/33680954"
"137465";"ИП Букреев Даниил Владиславович";"Москва г, пр-кт Ленинградский, д. 75, к. 1";"ЦАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.8049554";"37.5123471";"17.03.2025";"https://durnovcev2000.kaiten.ru/32955386"
"1363";"ООО «Виктория»/Медицинский офис";"г Москва ул Большая татарская дом 3";"ЦАО";"Технологии Безопасности";"Мозговой И.В.";"КВ";"55.6749807";"37.6712516";"17.03.2025";"https://durnovcev2000.kaiten.ru/33814901"
"90605";"ООО «Содействие+», нежилое помещение";"г. Москва, ул. Верхняя Радищевская, д. 9, стр. 4.";"ЦАО";"Гранит";"Шайхиев А.Р.";"КВ";"55.7445455";"37.6504901";"17.03.2025";"https://durnovcev2000.kaiten.ru/32562629"
"137104";"ООО «Твой Слух» (Мед. Офис по проверке слуха и продаже аппаратов)";"Москва г, пр-кт Мира, д. 79";"ЦАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.791178";"37.634241";"17.03.2025";"https://durnovcev2000.kaiten.ru/32562100"
"136132";"ИП Пташкин Алексей Павлович (Студия пилатеса)";"Москва г, Армянский пер, дом 7, подъезд 4, этаж 1";"ЦАО";"Технологии Безопасности";"Вершинина Е.В.";"КВ";"55.76018879999999";"37.6362257";"17.03.2025";"https://durnovcev2000.kaiten.ru/32562532"
"№ 699 ТБ";"ИП Тадевосян Оганнес Акобович/Химчистка и ремонт обуви";"Москва г, Серафимовича ул, дом № 2";"ЦАО";"Технологии Безопасности";"Моторин А.В.";"КВ";"55.7446863";"37.6132332";"17.03.2025";"https://durnovcev2000.kaiten.ru/32562261"
"137642";"ИП Мошнинов Степан Викторович / Кофейня «Surf Coffee & Chiller»";"Москва г, ул 2-я Звенигородская, д. 16";"ЦАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.763436";"37.5546943";"17.03.2025";"https://durnovcev2000.kaiten.ru/33239539"
"136638";"ООО ""ВИНВАЙБ"", Магазин алкольной продукции ""ВИНВАЙБ""";"Москва г, Мясницкий проезд, дом № 4, строение 1";"ЦАО";"Секьюрикоп-техник Краснодар";"Попов И.";"КВ";"55.7645656";"37.6366762";"17.03.2025";"https://durnovcev2000.kaiten.ru/32562114"
"134646";"ООО «Мой Ломбард», ломбард";"Москва г, проспект Мира , дом № 40";"ЦАО";"Технологии Безопасности";"Михно С.С.";"КВ";"55.780227";"37.6335184";"16.03.2025";"https://durnovcev2000.kaiten.ru/28043912"
"151496";"ООО МАМИЛА";"Москва г, Краснопрудная ул, дом № 26";"ЦАО";"Технологии Безопасности";"Гунин В.В.";"КВ";"55.778597";"37.6636473";"16.03.2025";"https://durnovcev2000.kaiten.ru/32562111"
"130284";"ООО ""ЛАЗЕР БАР"" (Центр коррекции фигуры ""ЛАЗЕР БАР"")";"г. Москва, ул. Б. Лубянка, д.24/15";"ЦАО";"Гранит";"Гаук Е.М.";"КВ";"55.7652019";"37.6315166";"16.03.2025";"https://durnovcev2000.kaiten.ru/28043937"
"137080";"ООО ""МАРА"", Ресторан ""Городское кафе 317""";"Москва г, пер Глубокий, д. 1/2";"ЦАО";"Технологии Безопасности";"Мозговой И.В.";"КВ";"55.7548455";"37.5698094";"15.03.2025";"https://durnovcev2000.kaiten.ru/32562104"
"81400";"ООО Первый дилерский центр ""Гранд"" (КЛИНИКА)";"Москва,Фадеева 4а въезд, через Пыхов-церковный переулок";"ЦАО";"Аллигатор";"-";"КВ";"55.7755348";"37.6010359";"15.03.2025";"https://durnovcev2000.kaiten.ru/32562365"
"82147";"ИП Агрба Фатима Ковиковна, Ателье";"г. Москва, Смоленская набережная, дом 5/13";"ЦАО";"Аллигатор";"Ахметвалиева В.М.";"КВ";"55.7491539";"37.5767194";"15.03.2025";"https://durnovcev2000.kaiten.ru/32562232"
"81496";"ИП Шевченко Татьяна Анатольевна, (салон красоты)";"Москва Средний Тишинский пер., д.10";"ЦАО";"Аллигатор";"Супонников М.С.";"КВ";"55.770064";"37.579393";"15.03.2025";"https://durnovcev2000.kaiten.ru/32562419"
"93064";"Аптека ""Планета Здоровья """;"г. Москва.,ул. 5-я Кожуховская д.12";"ЦАО";"Гранит";"Пряшников Д.Ю.";"М";"55.7050884";"37.6688518";"13.03.2025";"https://durnovcev2000.kaiten.ru/32562930"
"151689";"ООО «ВКУСНО»/пекарня ""Буханка""";"Москва, проезд Электролитный, д. 7";"ЦАО";"Эсток-Сервис";"Ткаченко В.Н.";"КВ";"55.672771";"37.619152";"06.03.2025";"https://durnovcev2000.kaiten.ru/40831472"
"131259";"ИП Зырянов Александр Викторович (Пекарня «Буханка»)";"Московская обл, Ленинский р-н, Видное г, Зеленые аллеи б-р, дом № 17, помещение 843";"ЦАО";"Гранит";"Калиниченко А.С.";"КВ";"55.5593853";"37.7042699";"04.03.2025";"https://durnovcev2000.kaiten.ru/32511056"
"90050";"ООО ""Планета Здоровья Холдинг""";"Москва, улица Милашенкова, дом 10";"ЦАО";"Эсток-Сервис";"Пряшников Д.Ю.";"КВ";"55.8262308";"37.583313";"27.02.2025";"https://durnovcev2000.kaiten.ru/45197162"
"1470";"остановочная платформа МЦК Деловой центер";"г Москва ул Тестовская, д 1";"ЦАО";"Нева-2";"Дубовик А.С.";"М";"55.7479421";"37.5333244";"18.02.2025";"https://durnovcev2000.kaiten.ru/32562143"
"1449";"остановочная платформа МЦК Хорошево";"Москва, Хорошёвское шоссе, 43";"ЦАО";"Нева-2";"Дубовик А.С.";"М";"55.77706";"37.507424";"18.02.2025";"https://durnovcev2000.kaiten.ru/32562151"
"130040";"ИП Сергеичева Ирина Михайловна/Детский центр раннего развития «Funscool»";"Москва г, Новаторов ул, дом № 4, корпус 5.";"ЦАО";"Гранит";"Ткаченко В.Н.";"КВ";"55.6647873";"37.5173252";"17.02.2025";"https://durnovcev2000.kaiten.ru/33814842"
"131826";"ИП Колчев М.В. Кофейня “Coffeeshots”";"Москва г, Лесная ул, дом № 10-16, блок 14";"ЦАО";"Гранит";"Кармаза А.В.";"КВ";"55.7802173";"37.5910968";"15.02.2025";"https://durnovcev2000.kaiten.ru/32562768"
"132695";"Шатохин Анатолий Федорович г. В (магазин BStatement)";"Москва ул Лесная 10";"ЦАО";"Гранит";"Михно С.С.";"КВ";"55.7788414";"37.5894099";"15.02.2025";"https://durnovcev2000.kaiten.ru/32562771"
"№ 18АС";"ООО Инвест-Капитал, АЗС Радуга";"Атепцево,ул.Левобережье,д.155";"ЦАО";"Аллигатор";"Дубовик А.С.";"КВ";"55.32510749999999";"36.7571185";"15.02.2025";"https://durnovcev2000.kaiten.ru/45478057"
"133329";"ООО ""ЮСМАЙЛ""/Стоматология «USMILE»";"Москва г,Селезневская 34к1, этаж 2 пом. 3 ком 1-6";"ЦАО";"Гранит";"Полубояринов";"КВ";"55.7810145";"37.6129963";"14.02.2025";"https://durnovcev2000.kaiten.ru/28044275"
"136740";"ООО ""ШУМ-МСК"", караоке-клуб ""ШУМ""";"Москва г, Садовая-Спасская ул, дом № 24";"ЦАО";"Технологии Безопасности";"Дубовик А.С.";"КВ";"55.7704866";"37.6433422";"14.02.2025";"https://durnovcev2000.kaiten.ru/32562113"
"136238";"ИП Набугорнова Наталья, м-н Нумизмат";"г.Москва,ул1я-.Тверская-Ямская,д.29,стр.1";"ЦАО";"Технологии Безопасности";"Дубовик А.С.";"КВ";"55.776016";"37.585195";"14.02.2025";"https://durnovcev2000.kaiten.ru/32562185"
"137617";"ИП Данилов Андрей Николаевич/Пекарня";"Москва г, ул Селезневская, д. 34";"ЦАО";"Гранит";"Рощин С.С.";"КВ";"55.7810145";"37.6129963";"14.02.2025";"https://durnovcev2000.kaiten.ru/33237951"
"81964";"Мед. центр Инвитро, ООО ""АРМИНГ""";"Москва, Б. Дорогомиловская, дом. 6";"ЦАО";"Аллигатор";"Супонников М.С.";"КВ";"55.7457314";"37.5695236";"14.02.2025";"https://durnovcev2000.kaiten.ru/32562401"
"91103";"ООО ""МЦ"" Стоматология ""ТИП-ТОП"",";"Москва, ул. Озерная, д. 4/2";"ЦАО";"Гранит";"Христенко Е.А.";"КВ";"55.687639";"37.465466";"13.02.2025";"https://durnovcev2000.kaiten.ru/33814932"
"ТО-№ 985ТБ";"ИП Ионова Татьяна Юрьевна /Офис";"Москва г, ул Чаплыгина, д. 6";"ЦАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.7639423";"37.6458946";"13.02.2025";"https://durnovcev2000.kaiten.ru/38435959"
"90371";"Пекарня ""Буханка""";"Москва, ул. Озерная, д. 2/3,";"ЦАО";"Гранит";"Сергеев Н.Р.";"КВ";"55.688556";"37.4682874";"13.02.2025";"https://durnovcev2000.kaiten.ru/32562458"
"63650";"Аптека ""Планета Здоровья""";"г.Красногорск, ул. Народного Ополчения 1а";"ЦАО";"Гранит";"Пряшников Д.Ю.";"М";"55.8362184";"37.317116";"12.02.2025";"https://durnovcev2000.kaiten.ru/33681740"
"91040";"ООО Лайк, Мини маркет ЛАЙК";".Видное,ул.Завидная,д.9";"ЦАО";"Технологии Безопасности";"Калиниченко А.С.";"КВ";"55.5383784";"37.7266531";"12.02.2025";"https://durnovcev2000.kaiten.ru/45223073"
"91309";"ИП Климова Наталья Александровна (Магазин одежды «Стилиссимо»)";"Москва Ленинградский пр-т., 44";"ЦАО";"Гранит";"Моторин А.В.";"КВ";"55.7941885";"37.54745279999999";"11.02.2025";"https://durnovcev2000.kaiten.ru/33681091"
"137968";"ООО Натура Сиберика\Магазин Натура Сиберика";"Москва г, пр-кт Мира, д. 46";"ЦАО";"Аллигатор";"Ахметвалиева В.М.";"КВ";"55.7811751";"37.6339255";"11.02.2025";"https://durnovcev2000.kaiten.ru/36612733"
"ТО- № 838ТБ";"ООО ""Институт репродуктивной медицины"", Институт репродуктивной медицины ""REMEDI""";"Москва г, проезд Шмитовский, д. 3, стр. 1, этаж 2";"ЦАО";"Технологии Безопасности";"Гаук Е.М.";"КВ";"55.7582278";"37.5555547";"11.02.2025";"https://durnovcev2000.kaiten.ru/32889204"
"136777";"ИП Соловьева Е.П  пекарня Буханка";"Лопатино,Солнечный бульвар,15";"ЦАО";"Гранит";"Ткаченко В.Н.";"КВ";"55.5312806";"37.641192";"11.02.2025";"https://durnovcev2000.kaiten.ru/45365237"
"137570";"ООО «МИГДАЛЬ», Розничный магазин LÉAH пляжная одежда и купальники";"Москва г, пер Козихинский Б., д. 1/9, стр. 1";"ЦАО";"Технологии Безопасности";"Хорзов С.В.";"КВ";"55.76487160000001";"37.6002672";"10.02.2025";"https://durnovcev2000.kaiten.ru/33084677"
"№ 1045";"ИП Землякова Галина Васильевна/Магазин ""Место Пиво""";"Мисайлово, ш. Пригородное, д. 8";"ЦАО";"Технологии Безопасности";"Мозговой И.В.";"КВ";"55.556641";"37.8199487";"10.02.2025";"https://durnovcev2000.kaiten.ru/42488494"
